,region,service,mode,percent
473,Te Awamutu,primary_school,driving,100.0
474,Te Awamutu,oral_health,cycling,100.0
475,Te Awamutu,oral_health,walking,67.0
476,Te Awamutu,oral_health,driving,100.0
477,Te Awamutu,all,cycling,96.0
478,Te Awamutu,all,walking,39.0
479,Te Awamutu,all,driving,100.0
480,Taupō,greenspace,cycling,97.0
481,Taupō,greenspace,walking,94.0
482,Taupō,greenspace,driving,100.0
483,Taupō,supermarket,cycling,80.0
484,Taupō,supermarket,walking,51.0
485,Taupō,supermarket,driving,100.0
486,Taupō,ece,cycling,93.0
487,Taupō,ece,walking,81.0
488,Taupō,ece,driving,100.0
489,Taupō,doctor,cycling,77.0
490,Taupō,doctor,walking,22.0
491,Taupō,doctor,driving,100.0
492,Taupō,pharmacy,cycling,79.0
493,Taupō,pharmacy,walking,36.0
494,Taupō,pharmacy,driving,100.0
495,Taupō,primary_school,cycling,93.0
496,Taupō,primary_school,walking,69.0
497,Taupō,primary_school,driving,100.0
498,Taupō,oral_health,cycling,91.0
499,Taupō,oral_health,walking,63.0
500,Taupō,oral_health,driving,100.0
501,Taupō,all,cycling,72.0
502,Taupō,all,walking,17.0
503,Taupō,all,driving,100.0
504,Pukekohe,greenspace,cycling,96.0
505,Pukekohe,greenspace,walking,96.0
506,Pukekohe,greenspace,driving,100.0
507,Pukekohe,supermarket,cycling,98.0
508,Pukekohe,supermarket,walking,48.0
509,Pukekohe,supermarket,driving,100.0
510,Pukekohe,ece,cycling,100.0
511,Pukekohe,ece,walking,95.0
512,Pukekohe,ece,driving,100.0
513,Pukekohe,doctor,cycling,98.0
514,Pukekohe,doctor,walking,36.0
515,Pukekohe,doctor,driving,100.0
516,Pukekohe,pharmacy,cycling,99.0
517,Pukekohe,pharmacy,walking,48.0
518,Pukekohe,pharmacy,driving,100.0
519,Pukekohe,primary_school,cycling,100.0
520,Pukekohe,primary_school,walking,70.0
521,Pukekohe,primary_school,driving,100.0
522,Pukekohe,oral_health,cycling,100.0
523,Pukekohe,oral_health,walking,69.0
524,Pukekohe,oral_health,driving,100.0
525,Pukekohe,all,cycling,96.0
526,Pukekohe,all,walking,24.0
527,Pukekohe,all,driving,100.0
528,Tokoroa,greenspace,cycling,100.0
529,Tokoroa,greenspace,walking,99.0
530,Tokoroa,greenspace,driving,100.0
531,Tokoroa,supermarket,cycling,98.0
532,Tokoroa,supermarket,walking,50.0
533,Tokoroa,supermarket,driving,100.0
534,Tokoroa,ece,cycling,100.0
535,Tokoroa,ece,walking,92.0
536,Tokoroa,ece,driving,100.0
537,Tokoroa,doctor,cycling,94.0
538,Tokoroa,doctor,walking,30.0
539,Tokoroa,doctor,driving,100.0
540,Tokoroa,pharmacy,cycling,97.0
541,Tokoroa,pharmacy,walking,39.0
542,Tokoroa,pharmacy,driving,100.0
543,Tokoroa,primary_school,cycling,100.0
544,Tokoroa,primary_school,walking,88.0
