,mode,dest_type,region,duration,suburb
0,walking,greenspace,Auckland,2.314636283961437,Beach Haven West
0,walking,all,Auckland,15.508326029798422,Beach Haven West
0,walking,supermarket,Auckland,19.79288321167883,Glamorgan
0,walking,ece,Auckland,7.521897810218978,Glamorgan
0,walking,pharmacy,Auckland,16.903284671532848,Glamorgan
0,walking,doctor,Auckland,15.266423357664234,Glamorgan
0,walking,primary_school,Auckland,8.65419708029197,Glamorgan
0,walking,greenspace,Auckland,2.75,Glamorgan
0,walking,all,Auckland,19.857664233576642,Glamorgan
0,walking,supermarket,Auckland,11.727848101265822,Browns Bay Central
0,walking,ece,Auckland,5.756329113924051,Browns Bay Central
0,walking,pharmacy,Auckland,7.3048523206751055,Browns Bay Central
0,walking,doctor,Auckland,8.523206751054852,Browns Bay Central
0,walking,primary_school,Auckland,13.35759493670886,Browns Bay Central
0,walking,greenspace,Auckland,2.317510548523207,Browns Bay Central
0,walking,all,Auckland,14.802742616033756,Browns Bay Central
0,walking,supermarket,Auckland,17.610822060353797,Rothesay Bay
0,walking,ece,Auckland,5.716961498439126,Rothesay Bay
0,walking,pharmacy,Auckland,15.02601456815817,Rothesay Bay
0,walking,doctor,Auckland,15.541103017689906,Rothesay Bay
0,walking,primary_school,Auckland,9.148803329864725,Rothesay Bay
0,walking,greenspace,Auckland,4.118626430801249,Rothesay Bay
0,walking,all,Auckland,17.684703433922998,Rothesay Bay
0,walking,supermarket,Auckland,17.857727737973388,Browns Bay South East
0,walking,ece,Auckland,5.476970317297851,Browns Bay South East
0,walking,pharmacy,Auckland,15.119754350051178,Browns Bay South East
0,walking,doctor,Auckland,15.196519959058342,Browns Bay South East
0,walking,primary_school,Auckland,12.056294779938588,Browns Bay South East
0,walking,greenspace,Auckland,3.1197543500511773,Browns Bay South East
0,walking,all,Auckland,18.311156601842374,Browns Bay South East
0,walking,supermarket,Auckland,48.37789799072643,Whenuapai
0,walking,ece,Auckland,14.968315301391035,Whenuapai
0,walking,pharmacy,Auckland,48.96522411128284,Whenuapai
0,walking,doctor,Auckland,45.953632148377125,Whenuapai
0,walking,primary_school,Auckland,36.51622874806801,Whenuapai
0,walking,greenspace,Auckland,5.605873261205564,Whenuapai
0,walking,all,Auckland,50.53400309119011,Whenuapai
0,walking,supermarket,Auckland,20.608695652173914,West Harbour Clearwater Cove
0,walking,ece,Auckland,7.250517598343685,West Harbour Clearwater Cove
0,walking,pharmacy,Auckland,16.66114561766736,West Harbour Clearwater Cove
0,walking,doctor,Auckland,10.328502415458937,West Harbour Clearwater Cove
0,walking,primary_school,Auckland,8.331953071083506,West Harbour Clearwater Cove
0,walking,greenspace,Auckland,1.598343685300207,West Harbour Clearwater Cove
0,walking,all,Auckland,21.806763285024154,West Harbour Clearwater Cove
0,walking,supermarket,Auckland,24.78193653376729,Schnapper Rock
0,walking,ece,Auckland,11.477624084621644,Schnapper Rock
0,walking,pharmacy,Auckland,22.078112286411717,Schnapper Rock
0,walking,doctor,Auckland,11.09113100081367,Schnapper Rock
0,walking,primary_school,Auckland,24.661513425549227,Schnapper Rock
0,walking,greenspace,Auckland,3.191212367778682,Schnapper Rock
0,walking,all,Auckland,28.03661513425549,Schnapper Rock
0,walking,supermarket,Auckland,8.942495126705653,Milford West
0,walking,ece,Auckland,7.344054580896686,Milford West
0,walking,pharmacy,Auckland,5.6003898635477585,Milford West
